First Name,Last Name,Full Name,District (Constituency),Province/Territory,Party,Email
Judy,A. Sgro,Judy A. Sgro,Humber River—Black Creek,Ontario,Liberal,judy.sgro@parl.gc.ca
Ziad,Aboultaif,Ziad Aboultaif,Edmonton Manning,Alberta,Conservative,ziad.aboultaif@parl.gc.ca
Sima,Acan,Sima Acan,Oakville West,Ontario,Liberal,sima.acan@parl.gc.ca
Scott,Aitchison,Scott Aitchison,Parry Sound—Muskoka,Ontario,Conservative,scott.aitchison@parl.gc.ca
Fares,Al Soud,Fares Al Soud,Mississauga Centre,Ontario,Liberal,fares.alsoud@parl.gc.ca
Dan,Albas,Dan Albas,Okanagan Lake West—South Kelowna,British Columbia,Conservative,dan.albas@parl.gc.ca
Shafqat,Ali,Shafqat Ali,Brampton—Chinguacousy Park,Ontario,Liberal,shafqat.ali@parl.gc.ca
Dean,Allison,Dean Allison,Niagara West,Ontario,Conservative,dean.allison@parl.gc.ca
Rebecca,Alty,Rebecca Alty,Northwest Territories,Northwest Territories,Liberal,rebecca.alty@parl.gc.ca
Anita,Anand,Anita Anand,Oakville East,Ontario,Liberal,anita.anand@parl.gc.ca
Gary,Anandasangaree,Gary Anandasangaree,Scarborough—Guildwood—Rouge Park,Ontario,Liberal,gary.anandasangaree@parl.gc.ca
Scott,Anderson,Scott Anderson,Vernon—Lake Country—Monashee,British Columbia,Conservative,scott.anderson@parl.gc.ca
Carol,Anstey,Carol Anstey,Long Range Mountains,Newfoundland and Labrador,Conservative,carol.anstey@parl.gc.ca
Mel,Arnold,Mel Arnold,Kamloops—Shuswap—Central Rockies,British Columbia,Conservative,mel.arnold@parl.gc.ca
Chak,Au,Chak Au,Richmond Centre—Marpole,British Columbia,Conservative,chak.au@parl.gc.ca
Tatiana,Auguste,Tatiana Auguste,Terrebonne,Quebec,Liberal,tatiana.auguste@parl.gc.ca
Roman,Baber,Roman Baber,York Centre,Ontario,Conservative,roman.baber@parl.gc.ca
Burton,Bailey,Burton Bailey,Red Deer,Alberta,Conservative,burton.bailey@parl.gc.ca
Parm,Bains,Parm Bains,Richmond East—Steveston,British Columbia,Liberal,parm.bains@parl.gc.ca
Yvan,Baker,Yvan Baker,Etobicoke Centre,Ontario,Liberal,yvan.baker@parl.gc.ca
Tony,Baldinelli,Tony Baldinelli,Niagara Falls—Niagara-on-the-Lake,Ontario,Conservative,tony.baldinelli@parl.gc.ca
Karim,Bardeesy,Karim Bardeesy,Taiaiako'n—Parkdale—High Park,Ontario,Liberal,karim.bardeesy@parl.gc.ca
John,Barlow,John Barlow,Foothills,Alberta,Conservative,john.barlow@parl.gc.ca
Michael,Barrett,Michael Barrett,Leeds—Grenville—Thousand Islands—Rideau Lakes,Ontario,Conservative,michael.barrett@parl.gc.ca
Xavier,Barsalou-Duval,Xavier Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,Xavier.Barsalou-Duval@parl.gc.ca
Jaime,Battiste,Jaime Battiste,Cape Breton—Canso—Antigonish,Nova Scotia,Liberal,jaime.battiste@parl.gc.ca
Mario,Beaulieu,Mario Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,mario.beaulieu@parl.gc.ca
Terry,Beech,Terry Beech,Burnaby North—Seymour,British Columbia,Liberal,terry.beech@parl.gc.ca
Buckley,Belanger,Buckley Belanger,Desnethé—Missinippi—Churchill River,Saskatchewan,Liberal,buckley.belanger@parl.gc.ca
Rachel,Bendayan,Rachel Bendayan,Outremont,Quebec,Liberal,rachel.bendayan@parl.gc.ca
Luc,Berthold,Luc Berthold,Mégantic—L'Érable—Lotbinière,Quebec,Conservative,luc.berthold@parl.gc.ca
David,Bexte,David Bexte,Bow River,Alberta,Conservative,david.bexte@parl.gc.ca
James,Bezan,James Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,james.bezan@parl.gc.ca
Chris,Bittle,Chris Bittle,St. Catharines,Ontario,Liberal,chris.bittle@parl.gc.ca
Bill,Blair,Bill Blair,Scarborough Southwest,Ontario,Liberal,bill.blair@parl.gc.ca
Yves-François,Blanchet,Yves-François Blanchet,Beloeil—Chambly,Quebec,Bloc Québécois,Yves-Francois.Blanchet@parl.gc.ca
Maxime,Blanchette-Joncas,Maxime Blanchette-Joncas,Rimouski—La Matapédia,Quebec,Bloc Québécois,Maxime.Blanchette-Joncas@parl.gc.ca
Kelly,Block,Kelly Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative,kelly.block@parl.gc.ca
